日時,始値,高値,安値,終値,調整後終値,出来高(株)
2023/06/09,888.0,890.0,887.0,887.0,887.0,38600
2023/06/08,887.0,888.0,887.0,887.0,887.0,18900
2023/06/07,887.0,888.0,887.0,887.0,887.0,19900
2023/06/06,887.0,888.0,887.0,887.0,887.0,31600
2023/06/05,888.0,890.0,887.0,887.0,887.0,52400
2023/06/02,887.0,888.0,887.0,887.0,887.0,38600
2023/06/01,887.0,889.0,887.0,887.0,887.0,26500
2023/05/31,887.0,889.0,887.0,887.0,887.0,91700
2023/05/30,887.0,888.0,887.0,887.0,887.0,18400
2023/05/29,887.0,888.0,887.0,887.0,887.0,48500
2023/05/26,887.0,888.0,887.0,887.0,887.0,12700
2023/05/25,887.0,888.0,887.0,887.0,887.0,39300
2023/05/24,887.0,888.0,887.0,887.0,887.0,72400
2023/05/23,887.0,888.0,887.0,887.0,887.0,42900
2023/05/22,887.0,888.0,887.0,887.0,887.0,46200
2023/05/19,887.0,888.0,887.0,887.0,887.0,21800
2023/05/18,887.0,888.0,887.0,887.0,887.0,7400
2023/05/17,887.0,888.0,887.0,887.0,887.0,39300
2023/05/16,887.0,888.0,887.0,887.0,887.0,26200
2023/05/15,887.0,888.0,887.0,887.0,887.0,42700
2023/05/12,887.0,888.0,887.0,887.0,887.0,36200
2023/05/11,887.0,888.0,887.0,887.0,887.0,11700
2023/05/10,887.0,888.0,887.0,887.0,887.0,26000
2023/05/09,886.0,888.0,886.0,886.0,886.0,24300
2023/05/08,886.0,888.0,886.0,887.0,887.0,43400
2023/05/02,887.0,888.0,886.0,887.0,887.0,20800
2023/05/01,886.0,888.0,886.0,886.0,886.0,22300
2023/04/28,887.0,888.0,886.0,886.0,886.0,66500
2023/04/27,886.0,887.0,886.0,886.0,886.0,52700
2023/04/26,886.0,887.0,886.0,886.0,886.0,40400
2023/04/25,886.0,887.0,886.0,887.0,887.0,47900
2023/04/24,886.0,887.0,886.0,887.0,887.0,38800
2023/04/21,887.0,887.0,886.0,886.0,886.0,17400
2023/04/20,886.0,887.0,886.0,886.0,886.0,31100
2023/04/19,886.0,887.0,886.0,886.0,886.0,52900
2023/04/18,887.0,887.0,886.0,886.0,886.0,76600
2023/04/17,886.0,887.0,886.0,887.0,887.0,7700
2023/04/14,889.0,889.0,886.0,886.0,886.0,70100
2023/04/13,886.0,888.0,886.0,888.0,888.0,183900
2023/04/12,886.0,887.0,886.0,886.0,886.0,35700
